word,part_of_speech,definition,example_sentence,example_hint,api_phonetic,api_phonetics,api_audio,api_partOfSpeech,api_definitions,api_synonyms,api_antonyms
dither,v.,to be indecisive,"Not wanting to offend either friend, he dithered about which of the two birthday parties he should attend.","Not wanting to offend either friend, he ______ed about which of the two birthday parties he should attend.",,,,,,,
divine,adj.,"godly, exceedingly wonderful","Terribly fond of desserts, she found the rich chocolate cake to be divine.","Terribly fond of desserts, she found the rich chocolate cake to be ______.",,,,,,,
divisive,adj.,"causing dissent, discord  E SAT Vocabulary",Her divisive tactics turned her two friends against each other.,Her ________ tactics turned her two friends against each other.,,,,,,,
divulge,v.,to reveal something secret,"Pressured by the press, the government finally divulged the previously unknown information.","Pressured by the press, the government finally _______d the previously unknown information.",,,,,,,
docile,adj.,easily taught or trained,She successfully taught the docile puppy several tricks.,She successfully taught the ______ puppy several tricks.,,,,,,,
dogmatic,adj.,aggressively and arrogantly certain about unproved principles,His dogmatic claim that men were better than women at fixing appliances angered everyone.,His ________ claim that men were better than women at fixing appliances angered everyone.,,,,,,,
dormant,adj.,"sleeping, temporarily inactive","Though she pretended everything was fine, her anger lay dormant throughout the dinner party and exploded in screams of rage after everyone had left.","Though she pretended everything was fine, her anger lay _______ throughout the dinner party and exploded in screams of rage after everyone had left.",,,,,,,
dour,adj.,"stern, joyless",The children feared their dour neighbor because the old man would take their toys if he believed they were being too loud.,The children feared their ____ neighbor because the old man would take their toys if he believed they were being too loud.,,,,,,,
dubious,adj.,"doubtful, of uncertain quality","Suspicious that he was only trying to get a raise, she found his praise dubious.","Suspicious that he was only trying to get a raise, she found his praise _______.",,,,,,,
duplicity,n.,crafty dishonesty,"His duplicity involved convincing his employees to let him lower their salaries and increase their stock options, and then to steal the money he saved and run the company into the ground.","His _________ involved convincing his employees to let him lower their salaries and increase their stock options, and then to steal the money he saved and run the company into the ground.",,,,,,,
duress,n.,"hardship, threat","It was only under intense duress that he, who was normally against killing, fired his gun.","It was only under intense ______ that he, who was normally against killing, fired his gun.",,,,,,,
dynamic,adj.,actively changing  E,The parents found it hard to keep up with the dynamic music scene with which their children had become very familiar.,The parents found it hard to keep up with the _______ music scene with which their children had become very familiar.,,,,,,,
ebullient,adj.,"extremely lively, enthusiastic",She became ebullient upon receiving an acceptance letter from her first-choice college.,She became _________ upon receiving an acceptance letter from her first-choice college.,,,,,,,
eclectic,adj.,consisting of a diverse variety of elements,"That bar attracts an eclectic crowd: lawyers, artists, circus clowns, and investment bankers.","That bar attracts an ________ crowd: lawyers, artists, circus clowns, and investment bankers.",,,,,,,
ecstatic,adj.,intensely and overpoweringly happy,The couple was ecstatic when they learned that they had won the lottery.,The couple was ________ when they learned that they had won the lottery.,,,,,,,
edict,n.,"an order, decree  SAT Vocabulary E",The ruler issued an edict requiring all of his subjects to bow down before him.,The ruler issued an _____ requiring all of his subjects to bow down before him.,,,,,,,
efface,v.,"to wipe out, obliterate, rub away",The husband was so angry at his wife for leaving him that he effaced all evidence of her presence; he threw out pictures of her and gave away all her belongings.,The husband was so angry at his wife for leaving him that he ______d all evidence of her presence; he threw out pictures of her and gave away all her belongings.,,,,,,,
effervescent,adj.,"bubbly, lively",My friend is so effervescent that she makes everyone smile.,My friend is so ____________ that she makes everyone smile.,,,,,,,
efficacious,adj.,effective,"My doctor promised me that the cold medicine was efficacious, but I’m still sniffling.","My doctor promised me that the cold medicine was ___________, but I’m still sniffling.",,,,,,,
effrontery,n.,"impudence, nerve, insolence","When I told my aunt that she was boring, my mother scolded me for my effrontery.","When I told my aunt that she was boring, my mother scolded me for my __________.",,,,,,,
effulgent,adj.,"radiant, splendorous",The golden palace was effulgent.,The golden palace was _________.,,,,,,,
egregious,adj.,extremely bad,The student who threw sloppy joes across the cafeteria was punished for his egregious behavior.,The student who threw sloppy joes across the cafeteria was punished for his _________ behavior.,,,,,,,
elaborate,adj.,"complex, detailed, intricate",Dan always beats me at chess because he develops such an elaborate game plan that I can never predict his next move.,Dan always beats me at chess because he develops such an _________ game plan that I can never predict his next move.,,,,,,,
elated,adj.,"overjoyed, thrilled","When she found out she had won the lottery, the writer was elated.","When she found out she had won the lottery, the writer was ______.",,,,,,,
elegy,n.,a speech given in honor of a dead person,"At the funeral, the widow gave a moving elegy describing her love for her husband.","At the funeral, the widow gave a moving _____ describing her love for her husband.",,,,,,,
elicit,v.,"to bring forth, draw out, evoke","Although I asked several times where the exit was, I elicited no response from the stone-faced policeman.","Although I asked several times where the exit was, I ______ed no response from the stone-faced policeman.",,,,,,,
eloquent,adj.,"expressive, articulate, moving",The priest gave such an eloquent sermon that most churchgoers were crying.,The priest gave such an ________ sermon that most churchgoers were crying.,,,,,,,
elucidate,v.,"to clarify, explain","I didn’t understand why my friend was so angry with me, so I asked Janine to elucidate her feelings.","I didn’t understand why my friend was so angry with me, so I asked Janine to _________ her feelings.",,,,,,,
elude,v.,"to evade, escape","Despite an intense search, the robber continues to elude the police.","Despite an intense search, the robber continues to _____ the police.",,,,,,,
emaciated,adj.,"very thin, enfeebled looking  embellish 1.  to decorate, adorn  2. to add details to, enhance  E SAT Vocabulary",My sister eats a lot of pastries and chocolate but still looks emaciated.,My sister eats a lot of pastries and chocolate but still looks _________.,,,,,,,
embezzle,v.,to steal money by falsifying records,"The accountant was fired for embezzling $10,000 of the company’s funds.","The accountant was fired for embezzling $10,000 of the company’s funds.",,,,,,,
emend,v.,"to correct or revise a written text  eminent 1.  distinguished, prominent, famous  2.  conspicuous","If my sentence is incorrect, the editor will emend what I have written.","If my sentence is incorrect, the editor will _____ what I have written.",,,,,,,
emollient,adj.,soothing,This emollient cream makes my skin very smooth.,This _________ cream makes my skin very smooth.,,,,,,,
emote,v.,to express emotion,"The director told the actor he had to emote, or else the audience would have no idea what his character was going through.","The director told the actor he had to _____, or else the audience would have no idea what his character was going through.",,,,,,,
empathy,n.,sensitivity to another’s feelings as if they were one’s own  empirical 1.  based on observation or experience  2.  capable of being proved or disproved by experiment,I feel such empathy for my sister when she’s in pain that I cry too.,I feel such _______ for my sister when she’s in pain that I cry too.,,,,,,,
emulate,v.,to imitate,"I idolize Britney Spears so much that I emulate everything she does: I wear her outfits, sing along to her songs, and date a boy named Justin.","I idolize Britney Spears so much that I _______ everything she does: I wear her outfits, sing along to her songs, and date a boy named Justin.",,,,,,,
